id_exame,numero_cpf,paciente_nome,data_coleta,tipo_exame,resultado_valor,unidade,valor_referencia_min,valor_referencia_max,status_resultado,id_laboratorio,nome_laboratorio
7dee1f1b-6896-4878-82ac-f2612b4e2207,90785123423,Isis da Costa,2023-11-11,Colesterol Total,136.6,mg/dL,0.0,200.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
1d7d7fc7-0225-4087-9948-297c9d95defc,90785123423,Isis da Costa,2024-06-26,HbA1c,4.9,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
c0a729ad-f585-4b8d-a88c-c9d49d1fd3d4,09574681300,Dom Sá,2023-03-03,Colesterol Total,146.2,mg/dL,0.0,200.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
abb14c36-1f17-4159-9527-087a4670e91d,09574681300,Dom Sá,2023-04-06,Triglicerideos,195.9,mg/dL,0.0,150.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
b4f8b986-3f18-4546-9d8a-c79a2186c6a1,01648379575,Lucas Fernandes,2024-12-18,Colesterol Total,209.9,mg/dL,0.0,200.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
a238d14b-8411-4a73-a0ef-93471dfacb06,39502186702,Igor Jesus,2024-08-17,Glicemia de Jejum,92.5,mg/dL,70.0,99.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
617da7c3-559b-4ceb-a1c2-ef7129e60f8e,39502186702,Igor Jesus,2024-10-14,HbA1c,4.8,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
58b50a34-fa12-47ba-a33b-649e2c16ff9d,39502186702,Igor Jesus,2024-08-29,Glicemia de Jejum,102.4,mg/dL,70.0,99.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
a65113b0-6d5d-48dd-991c-3319623b4fff,34725960152,Noah Alves,2024-11-09,Colesterol Total,194.5,mg/dL,0.0,200.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
edde45fe-7bfb-4b5c-868b-d19297d249a9,34725960152,Noah Alves,2023-10-26,HbA1c,4.5,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
10d88303-c853-43cd-a033-71a63c77183a,34725960152,Noah Alves,2024-02-07,Triglicerideos,73.3,mg/dL,0.0,150.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
ac311066-7dd1-41b4-9007-b1fe9d9bd082,34725960152,Noah Alves,2023-11-22,Triglicerideos,82.5,mg/dL,0.0,150.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
5e860dc4-625a-48fb-bdad-592bef01ca23,34725960152,Noah Alves,2023-08-28,Triglicerideos,142.8,mg/dL,0.0,150.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
750e3a6a-6f13-439c-8ceb-cc819924d159,74193680584,Isabela Abreu,2024-08-21,HbA1c,6.1,%,4.0,5.6,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
78dadc95-189f-46ef-9f42-2fcd1d62d2c8,42706195894,Aurora Gomes,2023-06-18,Glicemia de Jejum,103.0,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
a0435cab-72d2-448f-9e1e-f56082640b2b,37950641207,Srta. Pietra Lima,2024-02-21,Triglicerideos,136.3,mg/dL,0.0,150.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
6d9cc3d5-1f41-4135-b61b-145f881fe1ad,37950641207,Srta. Pietra Lima,2023-08-01,Triglicerideos,109.5,mg/dL,0.0,150.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
86b9c8d1-5d91-49f2-8a33-32ff3e5ba9e6,37950641207,Srta. Pietra Lima,2024-04-19,Triglicerideos,183.9,mg/dL,0.0,150.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
84544468-7452-4a11-a5ca-5f3ecec79a9d,37950641207,Srta. Pietra Lima,2023-04-03,Glicemia de Jejum,96.4,mg/dL,70.0,99.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
64e8e5d5-b6fd-4bdf-bc24-f16dd9001e71,07489156211,João Guilherme Martins,2024-12-22,Triglicerideos,131.8,mg/dL,0.0,150.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
3ee79c2a-2c16-4257-9a3f-cbf962362f16,07489156211,João Guilherme Martins,2023-08-09,Glicemia de Jejum,95.0,mg/dL,70.0,99.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
8d4cbd76-6684-47ba-a8bf-fa18216a1877,40729856356,Maria Sophia Vasconcelos,2024-12-29,Glicemia de Jejum,94.4,mg/dL,70.0,99.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
95dfa4fd-83f5-4c5c-ac6d-ebec7b41e987,40729856356,Maria Sophia Vasconcelos,2024-02-10,Triglicerideos,135.9,mg/dL,0.0,150.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
f5440c06-e485-477e-8034-9d4f931c60f4,40729856356,Maria Sophia Vasconcelos,2024-11-24,Glicemia de Jejum,81.1,mg/dL,70.0,99.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
e9ee899d-c931-4ac2-9251-15ec48cd45a4,24357901634,Maya da Mota,2023-02-01,HbA1c,4.5,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
e6816d8c-6625-46a5-8a62-d5bd33b683c1,24357901634,Maya da Mota,2024-07-23,Colesterol Total,169.9,mg/dL,0.0,200.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
ad9e991c-926b-44b2-882e-1bddc3c32ffa,24357901634,Maya da Mota,2023-04-07,HbA1c,4.7,%,4.0,5.6,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
93dae81a-8c82-4497-a8f4-68a50983c8bd,35214078617,Brayan Cassiano,2023-05-05,HbA1c,4.8,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
0d13b380-607d-4325-a7f9-fad9180c7a5f,35214078617,Brayan Cassiano,2023-08-16,Glicemia de Jejum,94.1,mg/dL,70.0,99.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
2398978b-517f-49d2-9279-4e4ee957a7a0,35214078617,Brayan Cassiano,2024-02-15,HbA1c,4.1,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
7a84f3f7-cbbc-4398-ac4d-07b808e44f60,35214078617,Brayan Cassiano,2024-08-19,Glicemia de Jejum,83.2,mg/dL,70.0,99.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
062d50ca-e9c8-4d2b-96df-01c39bc8de71,25830697483,Srta. Melissa Pinto,2023-01-23,Glicemia de Jejum,86.1,mg/dL,70.0,99.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
f11b6b3a-3fe7-475b-894d-a7cb111aa71f,25830697483,Srta. Melissa Pinto,2024-10-23,HbA1c,7.9,%,4.0,5.6,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
e40e45a6-8138-4e8c-993c-591d3066053f,25830697483,Srta. Melissa Pinto,2023-04-05,HbA1c,6.1,%,4.0,5.6,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
88859886-24ed-4815-8727-abddc2590a8e,25830697483,Srta. Melissa Pinto,2023-02-13,Glicemia de Jejum,149.6,mg/dL,70.0,99.0,Critico,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
2a1a273c-9615-4b9f-b23d-cab620070d63,25830697483,Srta. Melissa Pinto,2023-06-22,Glicemia de Jejum,171.4,mg/dL,70.0,99.0,Critico,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
92616a39-cd20-43f6-b155-2c319b82e6f1,47063152807,Igor Cunha,2024-05-23,Colesterol Total,170.7,mg/dL,0.0,200.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
62b0835c-ec9d-45d7-b554-dae400f91fcc,47063152807,Igor Cunha,2024-11-30,Colesterol Total,231.0,mg/dL,0.0,200.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
49571ccb-7fae-4093-9300-6a85d762a96d,47063152807,Igor Cunha,2023-12-29,HbA1c,5.6,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
89cf646a-e9c1-4a02-883f-e25ef798598b,47063152807,Igor Cunha,2023-10-09,HbA1c,4.0,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
73f66d36-a92d-4e36-8d9f-587a023eeb3d,47063152807,Igor Cunha,2023-06-02,Colesterol Total,144.7,mg/dL,0.0,200.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
40b9bbba-3358-4032-b3f6-7216813aeed2,47260895365,Arthur Miguel Andrade,2024-10-24,HbA1c,5.1,%,4.0,5.6,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
a256076a-b144-4f42-b66e-92af6de271a6,18352679040,Emanuelly da Conceição,2024-07-17,Colesterol Total,192.7,mg/dL,0.0,200.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
3880f9db-3027-4d1d-8931-5c4149f033a4,18352679040,Emanuelly da Conceição,2023-03-31,Glicemia de Jejum,85.8,mg/dL,70.0,99.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
b839c626-f8fe-40db-8372-dba0c4d1edd2,18352679040,Emanuelly da Conceição,2023-05-21,Colesterol Total,242.5,mg/dL,0.0,200.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
9468e9ba-18d6-4606-8656-d1e2dba05972,14980637566,Sara Barros,2024-10-07,HbA1c,5.7,%,4.0,5.6,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
0f5265b3-8e10-4114-9909-6a64eb1466ec,14980637566,Sara Barros,2024-01-27,Glicemia de Jejum,100.2,mg/dL,70.0,99.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
2dec0d39-3b3d-4ec1-97ed-abc5b88fcc6d,14980637566,Sara Barros,2024-05-06,Triglicerideos,160.9,mg/dL,0.0,150.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
1eb2e724-3d87-4080-858a-dd5939c170de,14980637566,Sara Barros,2023-12-19,Colesterol Total,187.5,mg/dL,0.0,200.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
64922d5b-c2db-49d2-8693-27a203ac48d9,28041657362,Maysa Dias,2024-02-02,Triglicerideos,151.8,mg/dL,0.0,150.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
1dfa8ed3-c854-4f3d-9e22-7a052b882eb9,28041657362,Maysa Dias,2023-01-27,HbA1c,4.9,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
5642b1d1-f81e-4f48-a4ab-35e2309e0e88,28041657362,Maysa Dias,2023-01-31,HbA1c,4.0,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
c1d26d45-60ee-466e-89e0-661e8ad61e86,28041657362,Maysa Dias,2024-04-28,Glicemia de Jejum,98.0,mg/dL,70.0,99.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
6bd3449d-ecfd-430c-8c39-d45e7e6a6595,28041657362,Maysa Dias,2024-08-21,Triglicerideos,163.2,mg/dL,0.0,150.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
4347f18e-aedd-4427-b461-1cdff94d7726,45870612390,José Pedro Freitas,2023-09-11,Glicemia de Jejum,114.2,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
87fb59a1-546f-4289-8d89-0ca905f06492,45870612390,José Pedro Freitas,2023-09-30,HbA1c,6.3,%,4.0,5.6,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
e4580712-a39a-4c44-bc5b-b628098fd0a3,32409617506,Antônio das Neves,2023-08-13,Glicemia de Jejum,118.1,mg/dL,70.0,99.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
2d5c4099-3bf1-4356-9b95-16b85e571d37,32409617506,Antônio das Neves,2023-12-30,Colesterol Total,188.0,mg/dL,0.0,200.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
d8dfa5c1-f440-4fbd-8bf6-0245173eff41,32409617506,Antônio das Neves,2023-08-31,HbA1c,5.4,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
0c2c86fe-4061-4784-9076-ea7ab7b5a586,32409617506,Antônio das Neves,2024-12-15,Triglicerideos,149.2,mg/dL,0.0,150.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
41104864-4d87-4d8b-906c-e6fe35a2ebf1,32409617506,Antônio das Neves,2024-12-21,Glicemia de Jejum,129.5,mg/dL,70.0,99.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
0bffbdeb-8e42-4c75-a0b9-7c4e11f6b541,42670358900,Alexia Pereira,2024-07-30,HbA1c,4.9,%,4.0,5.6,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
e1e61b0d-0cfe-4eb3-b849-1eeac8697131,42670358900,Alexia Pereira,2024-07-09,Colesterol Total,246.5,mg/dL,0.0,200.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
249b812e-fb9d-4e35-adcd-4a867f4866e3,42670358900,Alexia Pereira,2024-05-17,HbA1c,5.5,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
756a9a73-13cd-40b0-b816-7144c97d25c8,04271539643,Sra. Emanuella Freitas,2023-08-27,Glicemia de Jejum,99.9,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
e88f2ce8-a8b9-4468-b226-b9d6e81dd726,18249756355,Arthur Fernandes,2024-06-23,Glicemia de Jejum,151.0,mg/dL,70.0,99.0,Critico,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
8c5abc19-ddab-4b7e-abcf-b392232d6d1e,18249756355,Arthur Fernandes,2023-12-06,Glicemia de Jejum,125.5,mg/dL,70.0,99.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
4936d4d4-e571-42ef-a9b5-53f4e1de34ab,18249756355,Arthur Fernandes,2023-05-14,HbA1c,6.2,%,4.0,5.6,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
cadd3411-c9f4-466b-83ca-dfb75292a61c,18249756355,Arthur Fernandes,2023-11-28,HbA1c,7.8,%,4.0,5.6,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
08b7667b-c052-4400-bf0d-864cc4c3bd1f,18249756355,Arthur Fernandes,2023-06-01,Glicemia de Jejum,65.4,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
cc0d0e94-9903-40ae-9dd3-0ba5ecbb6627,73925681086,Vitor Hugo da Cruz,2023-04-24,HbA1c,6.1,%,4.0,5.6,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
a5a956fc-fbc7-40eb-bc64-f04f17321963,73925681086,Vitor Hugo da Cruz,2023-03-16,Triglicerideos,159.5,mg/dL,0.0,150.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
f97630aa-ecde-4fc2-af22-f0876b1a4f96,73925681086,Vitor Hugo da Cruz,2024-08-23,Colesterol Total,141.4,mg/dL,0.0,200.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
ac1d9bc5-4092-40c5-a7c5-6409ac258493,73925681086,Vitor Hugo da Cruz,2023-11-06,Triglicerideos,160.7,mg/dL,0.0,150.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
99ab7d46-49db-42a4-b6c2-24ef84962079,73925681086,Vitor Hugo da Cruz,2023-06-11,HbA1c,6.0,%,4.0,5.6,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
44a2f285-1a01-4d1c-8405-20356ee1ff60,92054367125,Sr. Kevin da Cruz,2024-10-26,Colesterol Total,199.8,mg/dL,0.0,200.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
f0e2d001-8a67-4cad-b982-3301ca76d95e,92054367125,Sr. Kevin da Cruz,2024-12-25,HbA1c,5.3,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
8651c270-a2c7-44f3-a181-b95a5f11166d,92054367125,Sr. Kevin da Cruz,2023-08-17,Triglicerideos,79.2,mg/dL,0.0,150.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
05de628b-9f75-44d0-a00a-9a4d1445b277,92054367125,Sr. Kevin da Cruz,2024-01-23,HbA1c,4.8,%,4.0,5.6,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
2ac12b38-5aa1-4a3b-999e-2d3a5f60c2d1,80792345150,Ana Mendonça,2023-05-11,Triglicerideos,157.5,mg/dL,0.0,150.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
29d9ac69-778e-4e32-8232-08bb65a5d005,80792345150,Ana Mendonça,2024-12-19,Glicemia de Jejum,90.2,mg/dL,70.0,99.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
e469a709-1f77-4c1d-8378-a025ac49b1f1,80792345150,Ana Mendonça,2024-08-04,Colesterol Total,156.1,mg/dL,0.0,200.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
74905dc6-d137-4ce5-9cd2-38c5a54d958d,64173208987,Otto Cavalcanti,2024-09-18,Triglicerideos,90.0,mg/dL,0.0,150.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
db1b7c65-c613-4862-ace7-d3c64d22f39b,91730428541,Melina Mendes,2024-05-23,Glicemia de Jejum,139.6,mg/dL,70.0,99.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
437e514a-c6b6-4612-9928-28cfe3e1031e,91730428541,Melina Mendes,2023-03-21,Triglicerideos,227.6,mg/dL,0.0,150.0,Critico,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
56e16060-40af-4424-9cfc-a78e17ea453c,84709632103,Sra. Alice Costela,2023-06-21,Triglicerideos,133.8,mg/dL,0.0,150.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
addea71d-280d-41cf-8bd5-6e46b9d17e9e,84709632103,Sra. Alice Costela,2024-12-26,Glicemia de Jejum,89.2,mg/dL,70.0,99.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
bfaceb51-275f-426e-bd94-e8d5915e10a1,38064792169,Juliana Araújo,2023-09-29,Glicemia de Jejum,131.2,mg/dL,70.0,99.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
9339eb47-8e88-4daf-88cc-f428bddb28f1,38064792169,Juliana Araújo,2024-12-10,HbA1c,4.7,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
72badb41-1c85-451e-997b-85c0ed7184d8,38064792169,Juliana Araújo,2023-09-20,Triglicerideos,164.1,mg/dL,0.0,150.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
1384d03d-4646-4a5d-a640-31273bbd5794,90152468749,Sabrina Costela,2023-02-19,Glicemia de Jejum,100.6,mg/dL,70.0,99.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
e57715bf-90a6-418e-a399-66462b2d093a,87240615901,Vitor Hugo Porto,2023-06-20,Colesterol Total,265.1,mg/dL,0.0,200.0,Critico,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
1f685e5d-9154-44f0-a107-3e0d7fc18b1b,87240615901,Vitor Hugo Porto,2024-01-23,Colesterol Total,212.2,mg/dL,0.0,200.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
7b3f4835-2822-4fba-b9c5-5808b580af0e,87240615901,Vitor Hugo Porto,2023-04-14,Colesterol Total,185.5,mg/dL,0.0,200.0,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
cd2d5206-37b9-48cc-871f-1e30b282bb6a,87240615901,Vitor Hugo Porto,2023-06-16,HbA1c,5.3,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
c3e89a76-1072-4dec-9c07-50e496436430,34671285053,Daniela Barbosa,2023-10-29,Glicemia de Jejum,110.1,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
55a519a8-cd59-4b42-8dc1-2e6c38c4f740,34671285053,Daniela Barbosa,2023-09-25,Triglicerideos,207.4,mg/dL,0.0,150.0,Critico,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
628f19f6-416b-466d-9118-aa8d780a5756,34671285053,Daniela Barbosa,2023-12-17,Glicemia de Jejum,104.4,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
6f4d01bb-7328-4450-a941-0948c8a182f3,34671285053,Daniela Barbosa,2023-06-14,Colesterol Total,176.7,mg/dL,0.0,200.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
d5e3fdfb-56ff-4283-8b80-7159b800786a,31748250671,Mathias Silveira,2023-12-13,Glicemia de Jejum,101.9,mg/dL,70.0,99.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
8508f46e-abab-45ad-b8ea-3ce984c8a5de,17283504923,Gustavo Cardoso,2024-12-22,Colesterol Total,191.2,mg/dL,0.0,200.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
03db5fd3-6ed3-4efa-b0fb-a908f8658d5c,17283504923,Gustavo Cardoso,2024-10-31,Colesterol Total,135.5,mg/dL,0.0,200.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
21030506-229b-44ed-bba1-c24cad6bc4ea,17283504923,Gustavo Cardoso,2023-06-10,Colesterol Total,120.2,mg/dL,0.0,200.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
5264b1e9-5538-4615-9745-00dd1fcd5826,17283504923,Gustavo Cardoso,2023-12-06,Glicemia de Jejum,110.6,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
65524ad4-2daf-442c-a967-7173ccfbb6e4,17283504923,Gustavo Cardoso,2024-02-24,HbA1c,6.2,%,4.0,5.6,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
9a66bac0-7f79-4d22-97a1-0d4c6ceab267,90132786478,Dr. João Felipe da Mota,2024-11-07,Triglicerideos,146.7,mg/dL,0.0,150.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
